greetings,Hello ,Hey. Hope you are doing good.
greetings,Hello there,Hi . How is your day going?
greetings,Hi there,Hello. How are you? 
greetings,Hey,Hi. What's up?
greetings,Anybody there?,Hi. How are you?
greetings,main menu, Hello and Welcome type a message or select an option to continue
reseller_hosting,I am looking for reseller hosting. ,You are at the right place. We provide reseller hosting. Know more here https://go4hosting.com/reseller-hosting
reseller_hosting,"I want to start new hosting providing company, please share with me reseller hosting plans",Thanks for contacting go4hosting. Kindly give us a call on the number below and we can discuss through it. 
reseller_hosting_cloud,Will you help me with detailing reselling services in cloud, Yes. Kindly drop us your number and we shall call you back.
shared_hosting_linux,I use shared Linux hosting,Yayy! Shared hosting has been one of our best known services. Know more here https://go4hosting.com/shared-hosting.htm
reseller_hosting,do you offer reseller hosting service ?,"Yes, we do offer reseller hosting service. Kindly provide us your name and phone number and we shall be in touch with you soon. "
shared_hosting,I am looking for shared hosting,Yayy! Shared hosting has been one of our best known services. Know more here https://go4hosting.com/shared-hosting.htm
shared_hosting_windows,I am looking for windows server on shared hosting,Thanks for contacting go4hosting. Here is the link to our shared windows hosting. https://go4hosting.com/windows-shared-hosting.htm
shared_hosting_sql,Looking for windows shared hosting with SQL server database,You can drop us your number or visit the following link https://go4hosting.com/windows-shared-hosting.htm
reseller_hosting_cloud,I want to be a reseller of cloud,Drop us your number and our cloud team shall get in touch with you soon.
reseller_hosting_email,We want reseller email hosting for multiple clients,We have been providing the industry-best email hosting solution to our clients. Kindly provide us your name and number and our professional will be in touch with you soon.
reseller_hosting,"hey, I am looking for a reseller plan to host 15-20 domains",Yes. We deal in reseller hosting plan. Here is the link https://go4hosting.com/reseller-hosting
reseller_hosting,I am looking for a reseller hosting? Can i get the link?,Yes. We deal in reseller hosting. Here is the link https://go4hosting.com/reseller-hosting
reseller_hosting_price,I want to see pricing for reseller hosting,The price for reseller hosting varies according to our client's requirements. You can call us at the above given number for more info.
reseller_hosting_expiry,I want to confirm the expiry date of reseller plan,Submit your query on the side pane. We will get in touch with you soon.
reseller_hosting_price,Hi. where i can find reseller hosting price?,The price for reseller hosting varies according to our client's requirements. You can call us at the above given number for more info.
reseller_hosting_aws,Are you guys AWS reseller?, Yes we are. Let us get in touch with you. Kindly provide your name and phone number with country code.
